ID,Movers,Direction,LarvaMove,CreeperMove,AdultMove,BreederMove,Queenmove,CardName,RealCardText,AppCardText,RemoveAndReshuffleDeck,ReshuffleBack,AlienBagSpecialCase,SpecialCaseID
11,"[3,4,5]",4,FALSE,FALSE,TRUE,TRUE,TRUE,Short Circuit,Place a Malfunction marker on each yellow Room with a Computer. Remove this Event from the game and reshuffle the Events deck (including the Discard pile).,Place a Malfunction marker on each yellow Room with a Computer.,TRUE,FALSE,FALSE,0
12,"[2,3]",2,FALSE,TRUE,TRUE,FALSE,FALSE,Damage,"Put a Malfunction marker in each Room with an Adult, Breeder, or Queen.","Put a Malfunction marker in each Room with an Adult, Breeder, or Queen.",FALSE,FALSE,FALSE,0
13,"[4,5]",2,FALSE,FALSE,FALSE,TRUE,TRUE,Egg Protection,Resolve an Encounter for each Character who is in the Nest or is carrying an Intruder Egg.,Resolve an Encounter for each Character who is in the Nest or is carrying an Intruder Egg.,FALSE,FALSE,FALSE,0
14,"[2,4,5]",4,FALSE,TRUE,FALSE,TRUE,TRUE,Consuming Fire,Set Item Counter to 0 in each Room with a Fire marker. Place a Fire marker in each Room neighboring a Room with a Fire marker. Fire does not spread through Closed Doors of Technical Corridors.,Set Item Counter to 0 in each Room with a Fire marker. Place a Fire marker in each Room neighboring a Room with a Fire marker. Fire does not spread through Closed Doors of Technical Corridors.,FALSE,FALSE,FALSE,0
15,"[3,4]",2,FALSE,FALSE,TRUE,TRUE,FALSE,Malfunction,"Place a Malfunction marker in the explored Room with the lower Room Number. Then, shuffle this card back into the events deck.","Place a Malfunction marker in the explored Room with the lower Room Number. Then, shuffle this card back into the events deck.",FALSE,TRUE,FALSE,0
16,"[2,3]",4,FALSE,TRUE,TRUE,FALSE,FALSE,Lurking,Remove all Intruders which are not in a Room with any Character from the board. Put their respective tokens into the Intruder bag.,Remove all Intruders which are not in a Room with any Character from the board.,FALSE,FALSE,TRUE,0
17,"[3,4,5]",3,FALSE,FALSE,TRUE,TRUE,TRUE,Evacuation Pod Ejection,Remove 1 Escape Pod token with the lowest number. Remove this Event from the game and reshuffle the Events deck (including the Discard pile).,Remove 1 Escape Pod token with the lowest number.,TRUE,FALSE,FALSE,0
18,"[3, 4]",3,FALSE,FALSE,TRUE,TRUE,FALSE,Hatching,"Discard 1 Egg from the Intruder Board. Any Characters in the Nest Room whose players have no Action cards left are Infested by Larva. If no Character was Infested, put a Larva token into the Intruder bag.",Discard 1 Egg from the Intruder Board. Any Characters in the Nest Room whose players have no Action cards left are Infested by Larva.,FALSE,FALSE,TRUE,1
19,"[3,4,5]",2,FALSE,FALSE,TRUE,TRUE,TRUE,Life Support Failure,Place a Malfunction marker in each green Room. Remove this Event from the game and reshuffle the Events deck (including the Discard pile).,Place a Malfunction marker in each green Room.,TRUE,FALSE,FALSE,0
20,"[3,4]",4,FALSE,FALSE,TRUE,TRUE,FALSE,Noise in Technical Corridors,"Place a Noise marker in the Technical Corridor, if there isn't already one there. If there is, each Character in a Room with a Technical Corridors Entrance performs a Noise roll.","Place a Noise marker in the Technical Corridor, if there isn't already one there. If there is, each Character in a Room with a Technical Corridors Entrance performs a Noise roll.",FALSE,FALSE,FALSE,2
